id,name,sponsor,event,venue,place,physical_description,occasion,notes,call_number,keywords,language,date,location,location_type,currency,currency_symbol,status,page_count,dish_count
13827,,NORDEUTSCHER LLOYD - BREMEN,BREAKFAST,COMMERCIAL,"EN ROUTE - SS ""LAHN""",CARD; ILLUS; COL; 5.5 X 8.25;,,MENU IN BOTH GERMAN & ENGLISH;,1901-1242,,,5/11/1901,Nordeutscher Lloyd   Bremen,,,,complete,2,75
13828,,NORDDEUTSCHER LLOYD - BREMEN,LUNCH,COM,"EN ROUTE - SS ""LAHN""",CARD; ILLUS; COL; 5.5 X 8.25;,,MENU IN BOTH GERMAN & ENGLISH;,1901-1243,,,5/11/1901,Norddeutscher Lloyd   Bremen,,,,complete,2,66
13829,,NORDDEUTSCHER LLOYD - BREMEN,DINNER,COM,"EN ROUTE _ SS ""LAHN""",FOLDER; ILLUS; COL; 5.5 X 8.25;,,MENU IN BOTH GERMAN & ENGLISH; MUSIC PROGRAM INCLUDED',1901-1244,,,5/11/1901,Norddeutscher Lloyd   Bremen,,,,complete,4,28
13830,,NORDDEUTSCHER LLOYD - BREMEN,MITTAGESSES,COM,"EN ROUTE - SS ""NECTAR""",CARD ILLUS; COL; 5.5 X 8.25;,,MENU IN GERMAN ONLY;,1901-1245,,,5/11/1901,Norddeutscher Lloyd   Bremen,,,,complete,2,11
13831,,U.S.GOVERNMENT,PRESIDENTIAL TOUR TO THE PACIFIC COAST,GOVT;,EN ROUTE ABOARD RAILROAD,CARD; ILLUS; 5.5 X 7.5;,POL;,SCREAMING EAGLE;,1901-1249,,,5/1/1901,U.S.Government,,,,complete,2,29
13833,,HOTEL NORTH,JULY FOURTH DINNER,COMMERCIAL,"AUGUSTA, ME",CARD; ILLUS; 4 X 7;,PATRIOTIC HOLIDAY;,AMERICAN FLAG;,1900-3813,,,7/4/1900,Hotel North,,,,complete,2,40
13834,,CATSKILL MOUNTAIN HOUSE,JULY FOURTH DINNER,COMMERCIAL,[NY],FOLDER; ILLUS; 5.5 X 7;,,PHOTOGRAPHS OF VIEWS ON COVER;,1900-3814,,,7/4/1900,Catskill Mountain House,,,,complete,4,61
13836,,AMERICAN CHAMBER OF COMMERCE OF PARIS,SIXTH ANNIVERSARY BANQUET,PROF;,"HOTEL CONTINENTAL, [PARIS, FRANCE]",FOLDER; ILLUS; COL; 5.25 X 4.25;,ANNIVERSARY;,"FRENCH; WINES; RED, WHITE, AND BLUE AMERICN AND FRENCH FLAGS;",1900-3817,,,7/4/1900,American Chamber Of Commerce Of Paris,,,,complete,3,21
13838,,ALAMO HOTEL(?),JULY FOURTH DINNER,COMMERCIAL,"COLORADO SPRINGS, CO",CARD; ILLUS; 5 X 8;,PATRIOTIC HOLIDAY;,AMERICAN FLAG;,1900-3821,,,7/4/1900,Alamo Hotel(?),,,,complete,2,30
13839,,ALAMO THE,BREAKFAST,COMMERCIAL,"COLORADO SPRINGS, CO",CARD; 4.5 X 7.25;,;,DATE WRITTEN BY FEB;,1900-3822,,,7/4/1900,Alamo The,,,,complete,2,45
13840,,ALAMO THE,LUNCHEON,COMMERCIAL,"COLORADO SPRINGS, CO",CARD; 4.5 X 7.25;,,,1900-3823,,,7/4/1900,Alamo The,,,,complete,2,38
13841,,IMPERIAL HOTEL LIMITED,DINNER,COMMERCIAL,"TOKYO, JAPAN",BROADSIDE; 4.5 X 6.75;,,FRENCH; REQUEST THAT GENTLEMEN DO NOT SMOKE; CITY NOTED BY FEB;,1900-3824,,,7/4/1900,Imperial Hotel Limited,,,,complete,2,12
13843,,IMPERIAL HOTEL LIMITED,LUNCH,COMMERCIAL,"[TOKYO,JAPAN]?",BROADSHEET;4.5X6.5;,DAILY;,MENU IN FRENCH;PLACE WRITTEN BY HAND PROBABLY BY FB;,1900-3832,,,7/5/1900,Imperial Hotel Limited,,,,complete,2,11
13844,,IMPERIAL HOTEL LIMITED,DINNER,COMMERCIAL,"[TOKYO,JAPAN]?",BROADSHEET;4.5X6.5;,DAILY;,MENU IN FRENCH;PLACE WRITTEN BY HAND PROBABLY BY FB;,1900-3833,,,7/5/1900,Imperial Hotel Limited,,,,complete,2,12
13845,,WELLS RIVER FISH AND GAME CLUB,EIGHTH ANNUAL DINNER,SOC;,"HALE'S TAVERN,WELLS RIVER,VT",FOLDER;ILLUS;5.25X6.25;,ANNIVERSARY;,BUILDING;HUNTING GEAR AND GAME;NAMES;,1900-3837,,,7/6/1900,Wells River Fish And Game Club,,,,complete,4,38
13846,,NEW ROCKINGHAM,LUNCHEON,COMMERCIAL,"NARRAGANSETT PIER,RI",CARD;ILLUS;COL;5X7;,DAILY;,COAT OF ARMS;,1900-3841,,,7/7/1900,New Rockingham,,,,complete,2,38
13847,,ALFRED MARSHAL,LARCHMONT TROLLEY PARTY LUNCH,"OTHER,(PRIVATE);","HOTEL ST.GEORGE,NYACK-ON-HUDSON,[NY]",CARD;ILLUS;COL;5.5X7.25;,"OTHER,(TROLLEY PARTY);",TROLLEY CAR;,1900-3842,,,7/7/1900,Alfred Marshal,,,,complete,2,19
13848,,PLANTERS HOTEL,BREAKFAST,COMMERCIAL,"ST LOUIS,MO",CARD;ILLUS;COL;6.75X8.75;,DAILY;,"GRAND HOTEL,MACKINAC ISLAND,MICHIGAN PICTURED;COAT OF ARMS;DATE WRITTEN BY HAND,PROBABLY BY FB;",1900-3846,,,7/8/1900,Planters Hotel,,Dollars,$,complete,2,153
13849,,?,BREAKFAST,COMMERCIAL,NIAGARA TO THE SEA,CARD;ILLUS;4.25X7;,DAILY;,"WINE LIST ON BACK;CANDLE STICK,CHAFING DISH,FOOD;",1900-3847,,,7/8/1900,?,,Dollars,$,complete,2,84
13850,,?,SUPPER,COMMERCIAL,NIAGARA TO THE SEA,CARD;ILLUS;4.25X7;,DAILY;,"WINE LIST ON BACK;CANDLE STICK,CHAFING DISH,FOOD;DATE WRITTEN BY HAND PROBABLY FB;",1900-3849,,,7/8/1900,?,,Dollars,$,complete,2,80
13852,,NEW GLADSTONE,LUNCHEON,COMMERCIAL,"NARRAGANSETT PIER, RI",CARD; 5.0X7.0;,,,1900-3851,,,7/8/1900,New Gladstone,,,,complete,2,34
13853,,NEW GLADSTONE,DINNER,COMMERCIAL,"NARRAGANSETT PIER, RI",CARD; 5.0X8.0;,,,1900-3852,,,7/8/1900,New Gladstone,,,,complete,2,44
13854,,PRINCE OF WALES HOTEL,DINNER,COMMERCIAL,"SOUTHPORT,(ENGLAND?)",CARD; 5 X 7.25;,,MENU AND DATE HANDWRITTEN; LOGO OF PRINCE OF WALES PLUMES;,1901-1452,,,5/27/1901,Prince Of Wales Hotel,,,,complete,2,14
13855,,OCEANIC STEAMSHIP CO.,LUNCHEON - SECOND CABIN,COMMERCIAL,EN ROUTE ABOARD VENTURA,CARD; 5.5 X 7;,,LOGO; HANDWRITTEN;,1901-1456,,,5/27/1901,Oceanic Steamship Co.,,,,complete,2,25
13856,,OCEANIC STEAMSHIP CO.,BREAKFAST - SECOND CABIN,COMMERCIAL,EN ROUTE ABOARD VENTURA,CARD; 5.5 X 7;,,LOGO; HANDWRITTEN;,1901-1457,,,5/27/1901,Oceanic Steamship Co.,,,,complete,2,20
13857,,OCEANIC STEAMSHIP CO.,DINNER - SECOND CABIN,COMMERCIAL,EN ROUTE ABOARD VENTURA,FOLDER; 5 X 7.25; ILLUS; COL;,,SAILING SHIP AND FOOD ILLUSTRATION; PALE GEEN BACKGROUND;HANDWRITTEN; GOLDEN GATE ON BACK COVER;,1901-1459,,,5/27/1901,Oceanic Steamship Co.,,,,complete,4,23
13861,,CENTURY CLUB,DINNER,,"CLEVELAND, OH",CARD; COL; ILLUS; 4.5 X 7;,,FLORAL BORDER WITH BUTTERFLY; PLACE NOTED BY FEB;,1900-4058,,,8/15/1900,Century Club,,,,complete,2,16
13862,,SARATOGY RACING ASSOCIATION,NINTH ANNUAL LAWN PARTY,OTHER (SPORTING CLUB);,"SARATOGA, NY",CARD; ILLUS; COL; 3.5 X 5.75;,OTHER (SOC);,FRENCH; PRICED CHAMPAGNES; ILLUSTRATION OF INDIAN; SOUVENIR OF LADIES' DAY; PLACE NOTED BY FEB;,1900-4061,,,8/16/1900,Saratogy Racing Association,,,,complete,2,32
13863,,NIPPON YUSEN KAISHA,BREAKFAST,COMMERCIAL,SS KAMAKUKRA MARU,BROADSHEET;ILLUS;COL;5.5X8;,DAILY;,HANDWRITTEN;FLAG;,1900-4062,,,8/16/1900,Nippon Yusen Kaisha,,,,complete,2,14
13864,,NIPPON YUSEN KAISHA,TIFFIN,COMMERCIAL,SS KAMAKUKRA MARU,BROADSHEET;ILLUS;COL;5.5X8;,DAILY;,HANDWRITTEN;FLAG;,1900-4063,,,8/16/1900,Nippon Yusen Kaisha,,,,complete,2,22
